631,2014-12-23 23:12:44.919922+00,2014-12-24 16:09:48.048086+00,t,f,"","",9781846689666
632,2014-12-25 22:49:12.510427+00,2014-12-26 23:03:06.784109+00,t,f,"","",9781781168660
633,2014-12-27 18:46:48.957098+00,2014-12-30 15:27:23.381466+00,t,f,"","",9780857684837
554,2013-12-07 08:46:34.826813+00,2013-12-15 12:58:25.179406+00,t,f,"","",9780230750760
416,2011-11-01 21:12:59.412002+00,2011-11-06 22:13:05.117502+00,t,f,"","",9781846555237
415,2011-09-11 02:42:00.155261+00,2011-09-20 00:30:15.082315+00,t,t,"","",9781846684821
420,2011-07-08 00:28:09.15717+00,2011-07-30 19:07:41.844363+00,t,t,"","",9781844880805
459,2011-08-20 14:35:01.928456+00,2012-07-20 13:40:01.869319+00,t,t,"","",9780743259729
460,2011-07-31 20:45:16.158787+00,2011-08-15 21:24:54.679897+00,t,t,"","",9780701169916
461,2013-05-31 02:48:55.64688+00,2013-07-13 03:07:29.66612+00,t,t,"","",9780691138619
417,2013-09-13 12:43:40.01256+00,2013-10-05 19:39:40.262902+00,t,f,"","",9781846555237
637,2015-02-02 08:26:33.57268+00,2015-02-02 08:26:38.668903+00,t,f,audio,no,9780007136858
653,2015-04-03 15:35:49.935018+00,2015-04-03 15:35:50.18333+00,t,f,paper,no,9781906040420
683,2015-08-23 22:50:40.936718+00,2015-12-29 21:23:42.221654+00,t,f,ebook,no,9780465051366
642,2015-02-16 22:32:37.918977+00,2015-02-20 12:25:40.898193+00,t,f,ebook,no,9781936071609
654,2015-04-09 21:08:06.875662+00,2015-04-10 20:37:26.310445+00,t,f,paper,no,9781780226347
658,2015-04-26 08:47:37.154582+00,2015-04-29 19:23:10.136116+00,t,f,paper,no,9780857867971
643,2015-02-20 12:26:52.738918+00,2015-02-20 14:57:35.289229+00,t,f,ebook,no,9781848134072
644,2015-02-23 22:29:12.212009+00,2015-02-25 22:15:54.719298+00,t,f,ebook,no,9780316200202
