160,Stephen Chbosky,American,White,man
213,Paul Cornell,British,White,man
195,Susanna Clarke,British,White,woman
174,Sam Thompson,British,White,man
172,Mia Gallagher,Irish,White,woman
246,S. J. Watson,British,White,man
251,Shirley Jackson,American,White,woman
38,Sebastian Beaumont,British,White,man
210,Rosie Garland,British,White,woman
208,Rob Thomas,American,White,man
93,Robin Sloan,American,White,man
204,Rick Dakan,American,White,man
10,Richard Morgan,British,White,man
205,Richard Kadrey,American,White,man
193,Rene Denfeld,American,White,woman
230,Rachel Joyce,British,White,woman
180,Rachel Cooke,British,White,woman
228,Philip K. Dick,American,White,man
61,Peter Straub,American,White,man
8,P. D. James,British,White,woman
249,Paul Dolan,British,White,man
173,Patrick Rothfuss,American,White,man
229,Patrick deWitt,American,White,man
2,Pasi Ilmari Jaaskelainen,Finnish,White,man
254,Oscar de Muriel,Mexican,White,man
163,Oliver Sacks,British,White,man
209,Norman Doidge,Canadian,White,man
190,Norah Vincent,American,White,woman
69,Nate Silver,American,White,man
161,M. R. James,British,White,man
241,Natasha Dow Schull,American,White,woman
120,Mike Carey,British,White,man
207,Michael Pollan,American,White,man
145,Mark Stevenson,British,White,man
194,Matthew Goodman,American,White,man
159,Matthew De Abaitua,British,White,man
202,Masha Gessen,Russian,White,woman
247,Mark Forsyth,British,White,man
187,Lucy Worsley,British,White,woman
234,Lev Grossman,American,White,man
252,Lauren Owen,British,White,woman
177,Kieron Gillen,British,White,man
182,Kevin D. Mitnick,American,White,man
197,Kate Atkinson,British,White,woman
253,J W Ironmonger,British,White,man
224,Julian Barnes,British,White,man
231,Jonas Jonasson,Swedish,White,man
155,John Connolly,American,White,man
152,Joan Didion,American,White,woman
166,Joan C. Williams,American,White,woman
244,J. Margus Klaar,Swedish,White,man
165,J. Jefferson Farjeon,British,White,man
153,J. G. Ballard,British,White,man
144,Jeremy Dyson,British,White,man
148,Jim Butcher,American,White,man
149,Jane Brox,American,White,woman
169,Ingrid Black,British,White,woman
216,Hope Mirrlees,British,White,woman
214,Hilary Mantel,British,White,woman
179,Helene Wecker,American,White,woman
162,Harry Karlinsky,Canadian,White,man
203,Harry Houdini,American,White,man
227,Grady Hendrix,American,White,man
157,Glen David Gold,American,White,man
218,Geoff Manaugh,American,White,man
189,Gary Sargent,British,White,man
201,Essie Fox,British,White,woman
206,Emma Donoghue,Irish,White,woman
196,Ellen Ullman,American,White,woman
150,Elizabeth Cooke,British,White,woman
235,Elena Ferrante,Italian,White,woman
199,Diane Setterfield,British,White,woman
211,David Shafer,American,White,man
170,David Gordon,American,White,man
188,David Carter,American,White,man
220,David B. Agus,American,White,man
176,Darran Anderson,Irish,White,man
158,Dan Simmons,American,White,man
191,Craig Schaefer,American,White,man
212,Christopher Fowler,British,White,woman
147,Charles Stross,British,White,man
242,Charles Yu,American,White,man
146,Christian Rudder,American,White,man
198,Charles Duhigg,American,White,man
219,Carsten Jensen,Danish,White,man
192,Carol Birch,British,White,woman
237,Bradley K. Martin,American,White,man
156,A. S. Byatt,British,White,woman
226,Anthony Horowitz,British,White,man
225,Ann Patchett,American,White,woman
164,Angela Carter,British,White,woman
185,Ambrose Bierce,American,White,man
223,Adam Roberts,British,White,man
238,Aarron Walter,American,White,man
222,Jesse Bering,American,White,man
215,Jane Austen,British,White,woman
37,James Tiptree Jr,American,White,woman
200,Henry Petroski,American,White,man
239,Hans Olav Lahlum,Norwegian,White,man
112,Genevieve Cogman,British,White,woman
240,Evgeniĭ Ivanovich Zami︠a︡tin,Russian,White,man
79,Eric Klinenberg,American,White,man
91,Ed Catmull,American,White,man
154,Donald Norman,American,White,man
1,David Mitchell,British,White,man
171,David Eagleman,American,White,man
167,Dave Hutchinson,British,White,man
64,Dashiell Hammett,American,White,man
250,Christopher Brookmyre,British,White,man
23,Chip Heath,American,White,man
232,Catherynne M. Valente,American,White,woman
136,Carol Dyhouse,British,White,woman
133,Becky Chambers,American,White,woman
245,Audrey Niffenegger,American,White,woman
103,Andrew Kaufman,Canadian,White,man
217,Alfie Kohn,American,White,man
132,Adam Johnson,American,White,man
266,Lois McMaster Bujold,American,White,woman
267,Gillian Flynn,American,White,woman
265,Ashley Mike,British,White,man
276,Okey Ndibe,Nigerian,Black,man
286,Eduardo Risso,Argentine,White,man
285,Brian Azzarello,American,White,man
281,Alfred Bester,American,White,man
289,John le Carré,British,White,man
294,Len Deighton,British,White,man
296,Michael Norton,American,White,man
298,Timothy D. Wilson,American,White,man
299,Helen Oyeyemi,British,Black,woman
300,Rabih Alameddine,Lebanese,Arab,man
301,Pete Earley,American,White,man
302,N. K. Jemisin,American,Black,woman
303,Rachel Dempsey,American,White,woman
304,Jewelle Gomez,American,Black,woman
10308,Alan Klemant,American,White,man
10309,Chris Klaus,American,White,woman
309,Naomi Novik,American,White,woman
315,Elizabeth Greenwood,American,White,woman
314,Stephen Graham Jones,American,Native American,man
313,Cathy O'Neil,American,White,woman
312,Lloyd Shepherd,British,White,man
310,Lauren Elkin,American,White,woman
316,Kier-La Janisse,Canadian,White,woman
317,Paul Corupe,Canadian,White,man
318,Craig Clevenger,American,White,man
319,Holly Black,American,White,woman
323,David Maurer,American,White,man
322,Peter Frankopan,British,White,man
320,Mandy Aftel,American,White,woman
321,Geoff Colvin,American,White,man
324,Mai Jia,Chinese,Asian,man
328,Akiko Takeyama,American,Asian,woman
261,Sarah Schulman,American,White,woman
331,Carlos Hernandez,American,Latinx,man
10312,Nalo Hopkinson,Canadian,Black,woman
330,Tom Boellstorff,American,White,man
345,Graeme Macrae Burnet,British,White,man
333,Jonathan Lethem,American,White,man
326,Thomas Hylland Eriksen,Norwegian,White,man
332,Edwin Heathcote,British,White,man
335,Yan Lianke,Chinese,Asian,man
334,Ted Chiang,American,Asian,man
336,Andrew Caldecott,British,White,man
329,Ian McEwan,British,White,man
344,Francis Duncan,British,White,man
338,Laura Purcell,British,White,woman
340,Jeffery Deaver,American,White,man
341,Kim Stanley Robinson,American,White,man
343,Rod Duncan,British,White,man
