9780230763210,LondonF,416,London Falling,2014-06-27 22:51:30.608983+00,http://ecx.images-amazon.com/images/I/51aPQMeTrKL.jpg,213
9781609451349,NewName,471,The Story of a New Name,2016-01-07 16:19:13.809863+00,http://ecx.images-amazon.com/images/I/51W00TGvxTL.jpg,235
9781556522413,"",278,The Mole People: Life in the Tunnels Beneath New York City,2018-06-16 21:49:15.408567+00,https://images-eu.ssl-images-amazon.com/images/I/51uX3UbHCdL.jpg,373
9780718179823,"",416,The Strings of Murder,2015-06-06 21:56:33.093029+00,http://ecx.images-amazon.com/images/I/61VP5ytIytL.jpg,254
9780349108858,"",287,Quite Ugly One Morning,2018-05-13 14:10:49.168821+00,https://images-eu.ssl-images-amazon.com/images/I/41WSjzbd6eL.jpg,250
9781594203220,GoingS,273,Going Solo,2012-07-18 16:40:03.681661+00,http://ecx.images-amazon.com/images/I/41XstU-MIxL.jpg,79
9781444760873,LScholar,356,The Late Scholar,2015-03-16 13:05:52.281716+00,http://ecx.images-amazon.com/images/I/51Qv5WNpjdL.jpg,51
9781857987676,"",272,Lud-in-the-Mist,2013-05-31 02:49:52.21392+00,http://ecx.images-amazon.com/images/I/51Sc6U1oINL.jpg,216
9781495607479,"",278,Making Wolf,2016-07-30 08:13:36.831214+00,http://ecx.images-amazon.com/images/I/51ttMpwRdyL.jpg,277
9780007460977,SandmanSlim,400,Sandman Slim,2013-07-08 03:00:57.34957+00,http://ecx.images-amazon.com/images/I/51pWnB3hrFL.jpg,205
9780753820254,ShadowWind,510,The Shadow of the Wind,2013-04-29 11:59:26.63294+00,http://ecx.images-amazon.com/images/I/515EbWu1IeL.jpg,139
9781609450786,BrilliantFriend,336,My Brilliant Friend,2015-11-09 09:57:53.99218+00,http://ecx.images-amazon.com/images/I/51PUTD03R7L.jpg,235
9781476782232,"",416,The Vor Game,2016-06-16 17:36:49.773779+00,http://ecx.images-amazon.com/images/I/51IfpBtspdL.jpg,266
